CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
C Suite and Boardroom Dynamics ,Summer 2019 ,"Patel, Homi" ,MKTG-478-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,88 ,1570 ,38 ,38 ,38 ,Evening ,50 ,0
Business Law ,Summer 2019 ,"McCareins, Mark" ,BLAW-435-0 (81) ,Summer 2019 Bidding Phase II ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,13 ,1531 ,2 ,55 ,2 ,Evening ,11 ,0
Visualization for Persuasion ,Summer 2019 ,"Franconeri, Steven" ,KACI-925-5 (81) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Non-Standard Meetings ,71 ,1200 ,30 ,30 ,30 ,Evening ,41 ,0
Personal Leadership Insights ,Summer 2019 ,"Corona, Paul" ,KACI-461-5 (62) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,37 ,1002 ,12 ,12 ,12 ,Evening ,25 ,0
C Suite and Boardroom Dynamics ,Summer 2019 ,"Patel, Homi" ,MKTG-478-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,11 ,1001 ,7 ,7 ,7 ,Weekend ,4 ,0
Personal Leadership Insights ,Summer 2019 ,"Corona, Paul" ,KACI-461-5 (71) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Sat 1:30PM - 4:30PM ,23 ,1000 ,12 ,12 ,12 ,Weekend ,11 ,0
Business Law ,Summer 2019 ,"McCareins, Mark" ,BLAW-435-0 (81) ,Summer 2019 Bidding Phase II ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,3 ,1000 ,1 ,10 ,1 ,Weekend ,2 ,0
Visualization for Persuasion ,Summer 2019 ,"Franconeri, Steven" ,KACI-925-5 (81) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Non-Standard Meetings ,49 ,761 ,30 ,30 ,30 ,Weekend ,19 ,0
Personal Leadership Insights ,Summer 2019 ,"Berger, Gail" ,KACI-461-5 (61) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,19 ,609 ,12 ,12 ,12 ,Evening ,7 ,0
Launching New Products and Services ,Summer 2019 ,"Maoz, Eyal" ,MKTG-465-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,16 ,500 ,10 ,10 ,10 ,Weekend ,6 ,0
Strategy and Organization ,Summer 2019 ,"Reich, Bryony" ,STRT-452-0 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,6 ,500 ,4 ,10 ,4 ,Weekend ,2 ,0
Strategies for Growth ,Summer 2019 ,"Mazzeo, Michael" ,STRT-475-5 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Sat 1:30PM - 4:30PM ,8 ,500 ,3 ,37 ,3 ,Evening ,5 ,0
"Growing Businesses, Growing People" ,Summer 2019 ,"Khosla, Sanjay" ,MKTG-935-5 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,6 ,400 ,4 ,20 ,4 ,Evening ,2 ,0
Marketing Strategy for Growth and Defense ,Summer 2019 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,3 ,351 ,3 ,16 ,3 ,Evening ,0 ,0
Strategies for Growth ,Summer 2019 ,"Mazzeo, Michael" ,STRT-475-5 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Sat 1:30PM - 4:30PM ,7 ,305 ,3 ,48 ,3 ,Weekend ,4 ,0
Presentation Fundamentals ,Summer 2019 ,"Van Camp, Karen" ,KACI-452-5 (81) ,Summer 2019 Bidding Phase II ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,2 ,300 ,1 ,5 ,1 ,Weekend ,1 ,0
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (81) ,Summer 2019 Bidding Phase I ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,14 ,250 ,10 ,10 ,10 ,Weekend ,3 ,0
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (81) ,Summer 2019 Bidding Phase II ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,8 ,201 ,3 ,55 ,3 ,Evening ,5 ,0
New Venture Discovery ,Summer 2019 ,"Eschbach, Jeffrey" ,KIEI-462-0 (81) ,Summer 2019 Bidding Phase I ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,6 ,200 ,5 ,5 ,5 ,Weekend ,1 ,0
Negotiations Fundamentals ,Summer 2019 ,"McClanahan, Kaylene" ,MORS-472-5 (81) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,39 ,150 ,31 ,31 ,31 ,Evening ,8 ,0
Launching New Products and Services ,Summer 2019 ,"Maoz, Eyal" ,MKTG-465-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,73 ,150 ,60 ,60 ,60 ,Evening ,13 ,0
Presentation Fundamentals ,Summer 2019 ,"Van Camp, Karen" ,KACI-452-5 (81) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,5 ,30 ,5 ,5 ,5 ,Weekend ,0 ,0
Strategies for Growth ,Summer 2019 ,"Mazzeo, Michael" ,STRT-475-5 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Sat 1:30PM - 4:30PM ,48 ,22 ,48 ,48 ,48 ,Weekend ,0 ,0
Finance II ,Summer 2019 ,"Frydman, Carola" ,FINC-431-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,12 ,21 ,12 ,12 ,12 ,Weekend ,0 ,0
Advertising Strategy ,Summer 2019 ,"McTigue, Kevin" ,MKTG-454-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,70 ,12 ,60 ,60 ,60 ,Evening ,10 ,0
Business Law ,Summer 2019 ,"McCareins, Mark" ,BLAW-435-0 (81) ,Summer 2019 Bidding Phase I ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,59 ,10 ,55 ,55 ,55 ,Evening ,4 ,0
Advertising Strategy ,Summer 2019 ,"McTigue, Kevin" ,MKTG-454-0 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,2 ,1 ,2 ,10 ,2 ,Weekend ,0 ,0
New Venture Discovery ,Summer 2019 ,"Eschbach, Jeffrey" ,KIEI-462-0 (81) ,Summer 2019 Bidding Phase I ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,27 ,1 ,27 ,27 ,27 ,Evening ,0 ,0
Strategies for Growth ,Summer 2019 ,"Mazzeo, Michael" ,STRT-475-5 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Sat 1:30PM - 4:30PM ,37 ,1 ,37 ,37 ,37 ,Evening ,0 ,0
Operations Management ,Summer 2019 ,"Boute, Robert" ,OPNS-430-0 (61) ,Summer 2019 Bidding Phase I ,OPNS ,Chicago ,Wed 6:00PM - 9:00PM ,38 ,0 ,64 ,65 ,38 ,Evening ,0 ,26
Operations Management ,Summer 2019 ,"Boute, Robert" ,OPNS-430-0 (61) ,Summer 2019 Bidding Phase II ,OPNS ,Chicago ,Wed 6:00PM - 9:00PM ,11 ,0 ,30 ,65 ,11 ,Evening ,0 ,19
Negotiations Fundamentals ,Summer 2019 ,"McClanahan, Kaylene" ,MORS-472-5 (81) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,0 ,0 ,0 ,31 ,0 ,Evening ,0 ,0
Negotiations Fundamentals ,Summer 2019 ,"McClanahan, Kaylene" ,MORS-472-5 (81) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,2 ,0 ,5 ,5 ,2 ,Weekend ,0 ,3
Negotiations Fundamentals ,Summer 2019 ,"McClanahan, Kaylene" ,MORS-472-5 (81) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,1 ,0 ,3 ,5 ,1 ,Weekend ,0 ,2
Leadership in Organizations ,Summer 2019 ,"Raider, Holly" ,MORS-430-0 (61) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,6 ,0 ,65 ,65 ,6 ,Evening ,0 ,59
Leadership in Organizations ,Summer 2019 ,"Raider, Holly" ,MORS-430-0 (61) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,1 ,0 ,58 ,65 ,1 ,Evening ,0 ,57
Leadership in Organizations ,Summer 2019 ,"Stone, Jeffrey" ,MORS-430-0 (61) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,6 ,0 ,65 ,65 ,6 ,Evening ,0 ,59
Leadership in Organizations ,Summer 2019 ,"Stone, Jeffrey" ,MORS-430-0 (61) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,1 ,0 ,58 ,65 ,1 ,Evening ,0 ,57
Advertising Strategy ,Summer 2019 ,"McTigue, Kevin" ,MKTG-454-0 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,0 ,0 ,0 ,60 ,0 ,Evening ,0 ,0
Advertising Strategy ,Summer 2019 ,"McTigue, Kevin" ,MKTG-454-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,8 ,0 ,10 ,10 ,8 ,Weekend ,0 ,2
Business Analytics II ,Summer 2019 ,"Saraniti, Brett" ,DECS-431-0 (62) ,Summer 2019 Bidding Phase I ,DECS ,Chicago ,Wed 6:00PM - 9:00PM ,29 ,0 ,63 ,65 ,29 ,Evening ,0 ,34
Business Analytics II ,Summer 2019 ,"Saraniti, Brett" ,DECS-431-0 (62) ,Summer 2019 Bidding Phase II ,DECS ,Chicago ,Wed 6:00PM - 9:00PM ,1 ,0 ,37 ,65 ,1 ,Evening ,0 ,36
Finance I ,Summer 2019 ,"Levy, Erez" ,FINC-430-0 (61) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Tue 6:00PM - 9:00PM ,47 ,0 ,65 ,65 ,47 ,Evening ,0 ,18
Finance I ,Summer 2019 ,"Levy, Erez" ,FINC-430-0 (61) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Tue 6:00PM - 9:00PM ,3 ,0 ,24 ,65 ,3 ,Evening ,0 ,21
