CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Global Entrepreneurial Finance ,Spring 2019 ,"Liberti, Jose Maria" ,FINC-477-0 (41) ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.9 ,17 ,18
Leadership and Organizations ,Spring 2019 ,"Uzzi, Brian" ,MORSX-431-5 (118) ,MORSX ,Evanston ,TBA  ,6.0 ,6.0 ,6.0 ,5.9 ,5.6 ,5.9 ,3.6 ,67 ,72
Personal Leadership Insights ,Spring 2019 ,"Carroll, Shana" ,KACI-461-5 (35) ,KACI ,Evanston ,Tue 3:30PM - 5:00PM ,5.9 ,6.0 ,5.8 ,5.8 ,5.6 ,5.7 ,2.6 ,11 ,12
"Mergers and Acquisitions, LBOs and Corporate Restructuring" ,Spring 2019 ,"Liberti, Jose Maria" ,FINC-448-0 (41) ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,5.9 ,6.0 ,6.0 ,6.0 ,5.6 ,5.9 ,5.8 ,37 ,39
Strategic Financial Management ,Spring 2019 ,"Petersen, Mitchell" ,FINCX-442-0 (114) ,FINCX ,Evanston ,TBA  ,5.9 ,5.9 ,5.9 ,6.0 ,5.6 ,5.8 ,5.1 ,21 ,47
Public Economics for Business Leaders: Federal Policy ,Spring 2019 ,"Besanko, David" ,KPPI-470-0 (81) ,KPPI ,Chicago ,Thu 6:00PM - 9:00PM ,5.8 ,5.9 ,5.9 ,5.9 ,5.9 ,5.9 ,4.2 ,52 ,62
Marketing Strategy ,Spring 2019 ,"Chernev, Alexander" ,MKTGX-466-0 (116) ,MKTGX ,Evanston ,TBA  ,5.8 ,5.8 ,5.9 ,5.9 ,5.7 ,5.9 ,3.5 ,36 ,75
Marketing Strategy ,Spring 2019 ,"Chernev, Alexander" ,MKTGX-466-0 (119) ,MKTGX ,Off Campus ,TBA  ,5.8 ,5.8 ,5.9 ,5.9 ,5.6 ,5.7 ,3.7 ,32 ,59
Accounting for Management Planning and Control ,Spring 2019 ,"Dye, Ronald" ,ACCTX-431-0 (116) ,ACCTX ,Evanston ,TBA  ,5.8 ,5.8 ,5.6 ,5.5 ,5.5 ,5.9 ,3.4 ,12 ,75
Advertising Strategy ,Spring 2019 ,"Rucker, Derek" ,MKTG-454-0 (31) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.7 ,5.9 ,5.8 ,5.4 ,5.3 ,5.8 ,2.8 ,57 ,65
Entrepreneurial Selling ,Spring 2019 ,"Sykes, Andrew" ,KIEI-966-0 (81) ,KIEI ,Chicago ,Sat 1:30PM - 4:30PM ,5.7 ,5.9 ,5.8 ,5.6 ,5.2 ,5.7 ,3.5 ,34 ,43
Launching and Leading Startups ,Spring 2019 ,"Cast, Carter" ,KIEI-967-0 (41) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,5.7 ,5.9 ,5.8 ,5.7 ,5.1 ,5.7 ,2.9 ,49 ,50
New Venture Development ,Spring 2019 ,"Desai, Rick" ,KIEI-464-0 (41) ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,5.7 ,5.9 ,5.7 ,5.6 ,4.7 ,5.6 ,5.0 ,27 ,32
Corporate Governance ,Spring 2019 ,"Zajac, Edward" ,MORSX-913-A (112) ,MORSX ,Evanston ,TBA  ,5.7 ,5.8 ,5.9 ,5.7 ,5.8 ,5.7 ,2.3 ,11 ,59
Leading Organizational Transformation ,Spring 2019 ,"Blount, Sally" ,KACIX-469-0 (MW1) ,KACIX ,Off Campus ,TBA  ,5.7 ,5.7 ,5.7 ,5.6 ,5.2 ,5.7 ,3.9 ,66 ,70
Personal Leadership Insights ,Spring 2019 ,"Corona, Paul" ,KACI-461-5 (37) ,KACI ,Evanston ,Fri 10:30AM - 12:00PM ,5.6 ,6.0 ,5.6 ,5.6 ,4.7 ,5.4 ,2.5 ,11 ,12
Strategic Decisions in Operations ,Spring 2019 ,"Bassamboo, Achal" ,OPNSX-454-0 (114) ,OPNSX ,Evanston ,TBA  ,5.6 ,6.0 ,5.8 ,5.6 ,5.7 ,5.9 ,3.8 ,20 ,61
Personal Leadership Insights ,Spring 2019 ,"Corona, Paul" ,KACI-461-5 (36) ,KACI ,Evanston ,Thu 1:30PM - 3:00PM ,5.6 ,5.9 ,5.6 ,5.4 ,4.9 ,5.4 ,2.4 ,10 ,12
Financial Modeling for Leveraged Buyout Transactions ,Spring 2019 ,"Saraiya, Chirag" ,FINC-940-5 (41) ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,5.6 ,5.8 ,5.7 ,5.3 ,4.4 ,5.2 ,3.0 ,78 ,97
Advertising Strategy ,Spring 2019 ,"Rucker, Derek" ,MKTG-454-0 (32) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.6 ,5.8 ,5.7 ,5.4 ,5.2 ,5.8 ,2.6 ,60 ,65
Personal Leadership Insights ,Spring 2019 ,"Murnane, Kevin" ,KACI-461-5 (61) ,KACI ,Chicago ,Tue 6:00PM - 9:00PM ,5.6 ,5.7 ,5.8 ,5.8 ,5.3 ,5.7 ,2.0 ,9 ,10
Marketing Strategy ,Spring 2019 ,"Chernev, Alexander" ,MKTGX-466-0 (118) ,MKTGX ,Evanston ,TBA  ,5.6 ,5.6 ,5.9 ,5.9 ,5.5 ,5.7 ,3.9 ,42 ,72
Strategic Challenges in Emerging Markets ,Spring 2019 ,"Morjaria, Ameet" ,STRT-466-0 (81) ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,5.6 ,5.6 ,5.6 ,5.3 ,5.9 ,5.7 ,2.5 ,45 ,56
Personal Leadership Insights ,Spring 2019 ,"Ellington Booth, Brenda" ,KACI-461-5 (32) ,KACI ,Evanston ,Mon 3:30PM - 5:00PM ,5.6 ,5.5 ,5.3 ,5.5 ,4.7 ,5.2 ,2.3 ,12 ,12
Personal Leadership Insights ,Spring 2019 ,"Murnane, Kevin" ,KACI-461-5 (39) ,KACI ,Evanston ,Thu 6:30PM - 8:00PM ,5.6 ,5.1 ,5.2 ,5.2 ,4.8 ,4.7 ,2.1 ,10 ,12
Managerial Finance II ,Spring 2019 ,"Raviv, Artur" ,FINCX-441-0 (117) ,FINCX ,Off Campus ,TBA  ,5.5 ,5.8 ,5.7 ,5.6 ,5.4 ,5.7 ,3.2 ,33 ,64
Negotiations Fundamentals ,Spring 2019 ,"Kteily, Nour" ,MORS-472-5 (82) ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,5.5 ,5.8 ,5.8 ,5.6 ,4.6 ,5.3 ,2.6 ,35 ,35
Executive Perspectives on Leadership ,Spring 2019 ,"Kraemer, Harry" ,STRTX-920-0 (113) ,STRTX ,Off Campus ,TBA  ,5.5 ,5.8 ,5.7 ,5.5 ,5.5 ,5.8 ,2.8 ,25 ,52
Negotiations Fundamentals ,Spring 2019 ,"Finkel, Eli" ,MORS-472-5 (51) ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,5.5 ,5.7 ,5.7 ,5.5 ,4.9 ,5.6 ,2.4 ,32 ,36
Corporate Governance ,Spring 2019 ,"Zajac, Edward" ,MORSX-913-A (113) ,MORSX ,Off Campus ,TBA  ,5.5 ,5.7 ,5.7 ,5.2 ,5.7 ,5.7 ,2.5 ,20 ,35
Selling Yourself and Your Ideas ,Spring 2019 ,"Muchin, Suzanne" ,KACI-940-0 (81) ,KACI ,Chicago ,Tue 6:00PM - 9:00PM ,5.5 ,5.7 ,5.6 ,5.4 ,4.7 ,5.3 ,2.6 ,66 ,70
Leadership Development Models and Practices ,Spring 2019 ,"Banks, Bernard" ,KACIM-930-5 (1) ,KACIM ,Chicago ,Mon 1:30PM - 4:30PM ,5.5 ,5.7 ,5.5 ,5.5 ,5.4 ,5.7 ,2.2 ,15 ,17
Strategy Beyond Markets ,Spring 2019 ,"Persico, Nicola" ,KPPIX-441-0 (MW1) ,KPPIX ,Off Campus ,TBA  ,5.5 ,5.6 ,5.6 ,5.5 ,5.9 ,5.8 ,3.1 ,13 ,25
Financial Decisions ,Spring 2019 ,"Benmelech, Efraim" ,FINC-442-0 (81) ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,5.5 ,5.5 ,5.6 ,5.7 ,5.5 ,5.7 ,3.8 ,22 ,26
Negotiations Fundamentals ,Spring 2019 ,"Kteily, Nour" ,MORS-472-5 (81) ,MORS ,Chicago ,Mon 6:00PM - 9:00PM ,5.4 ,5.8 ,5.7 ,5.7 ,4.7 ,5.3 ,2.4 ,33 ,34
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Spring 2019 ,"Achler, Mark" ,KIEI-952-5 (81) ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,5.4 ,5.8 ,5.2 ,4.9 ,4.3 ,5.7 ,1.4 ,33 ,34
The World Economy ,Spring 2019 ,"Rebelo, Sergio" ,FINCX-450-0 (MW2) ,FINCX ,Off Campus ,TBA  ,5.4 ,5.8 ,5.4 ,5.2 ,5.8 ,5.7 ,2.1 ,43 ,69
Negotiations Fundamentals ,Spring 2019 ,"Finkel, Eli" ,MORS-472-5 (43) ,MORS ,Evanston ,Thu 6:30PM - 9:30PM ,5.4 ,5.7 ,5.6 ,5.3 ,4.3 ,5.0 ,2.4 ,29 ,34
Marketing Analytics: Leading with Big Data ,Spring 2019 ,"Zettelmeyer, Florian" ,MKTGX-950-0 (114) ,MKTGX ,Evanston ,TBA  ,5.4 ,5.7 ,5.8 ,5.8 ,5.5 ,5.8 ,3.9 ,25 ,68
Microeconomic Analysis ,Spring 2019 ,"Aaronson, Daniel" ,MECN-430-0 (81) ,MECN ,Chicago ,Sat 9:00AM - 12:00PM ,5.4 ,5.7 ,5.6 ,5.5 ,5.7 ,5.8 ,2.6 ,26 ,48
Accounting For Decision Making ,Spring 2019 ,"Finn, Mark" ,ACCT-430-0 (61) ,ACCT ,Chicago ,Mon 6:00PM - 9:00PM ,5.4 ,5.7 ,5.5 ,5.2 ,5.8 ,5.8 ,2.8 ,61 ,68
The Economics of Energy Markets ,Spring 2019 ,"Busse, Meghan" ,STRT-958-5 (31) ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.4 ,5.7 ,5.6 ,5.6 ,5.1 ,5.6 ,3.4 ,29 ,56
Strategic Decisions in Operations ,Spring 2019 ,"Chopra, Sunil" ,OPNSX-454-0 (115) ,OPNSX ,Off Campus ,TBA  ,5.4 ,5.7 ,5.8 ,5.6 ,5.9 ,5.8 ,4.1 ,20 ,43
Managerial Accounting ,Spring 2019 ,"Lyle, Matthew" ,ACCT-431-0 (31) ,ACCT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.4 ,5.6 ,5.6 ,5.4 ,5.1 ,5.3 ,2.4 ,30 ,38
